                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1691,                 3.0861,                 1.2324,                0.36396,                0.32232,                0.16902,                0.07376,                 1.9042,                 2.6611,                 1.1775,             0.00036416,             0.00036416,             0.00036416
                      2,                  1.954,                 1.9674,                 1.1388,                0.53642,                0.36697,                 0.3427,                0.14228,                  1.842,                 2.0057,                 1.1543,             0.00070541,             0.00070541,             0.00070541
                      3,                 1.8815,                 1.7979,                 1.1241,                0.38942,                0.46156,                0.41143,                0.17976,                 1.7658,                 1.7115,                 1.1489,              0.0010173,              0.0010173,              0.0010173
                      4,                 1.8284,                  1.709,                 1.1167,                0.39754,                0.45632,                0.42148,                 0.1785,                  1.852,                 1.6698,                 1.1651,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.8083,                 1.6167,                 1.0997,                 0.5623,                0.53292,                0.54725,                0.23924,                  1.744,                 1.5953,                 1.1272,             0.00097901,             0.00097901,             0.00097901
                      6,                 1.7968,                 1.5532,                 1.0963,                0.58645,                0.56089,                0.59828,                0.25009,                 1.8036,                 1.4767,                 1.1461,             0.00093502,             0.00093502,             0.00093502
                      7,                 1.7997,                 1.4899,                 1.0896,                0.59505,                0.51642,                0.56907,                0.23017,                 1.8972,                 1.5201,                 1.1526,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.7876,                 1.4486,                 1.0818,                0.63861,                0.62817,                0.68043,                0.30885,                  1.712,                 1.3811,                 1.1041,             0.00084703,             0.00084703,             0.00084703
                      9,                 1.7357,                 1.3885,                 1.0711,                0.63191,                0.61782,                 0.6503,                0.29686,                 1.6933,                 1.3788,                 1.1031,             0.00080303,             0.00080303,             0.00080303
                     10,                 1.7279,                 1.3501,                 1.0669,                0.69862,                0.65163,                0.71478,                0.32685,                 1.6905,                  1.292,                 1.1066,             0.00075904,             0.00075904,             0.00075904
                     11,                 1.7189,                 1.3208,                 1.0635,                0.66535,                 0.6211,                0.66903,                 0.2811,                 1.8343,                 1.3355,                  1.129,             0.00071504,             0.00071504,             0.00071504
                     12,                 1.7097,                 1.2883,                 1.0606,                0.73874,                0.69203,                0.75465,                0.34767,                 1.7018,                 1.2268,                 1.1038,             0.00067104,             0.00067104,             0.00067104
                     13,                 1.6839,                 1.2456,                  1.053,                0.73159,                0.69422,                 0.7508,                0.34774,                 1.7074,                  1.209,                 1.0989,             0.00062705,             0.00062705,             0.00062705
                     14,                 1.6875,                 1.2241,                 1.0464,                0.72855,                0.69453,                0.75614,                0.35962,                 1.6679,                 1.1954,                 1.0928,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.6752,                 1.2159,                 1.0541,                0.75159,                0.70942,                0.77794,                0.37013,                 1.6521,                 1.1591,                 1.0896,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.6461,                 1.1777,                 1.0717,                0.76118,                 0.7139,                0.78644,                0.36371,                 1.6877,                  1.168,                 1.0939,             0.00049506,             0.00049506,             0.00049506
                     17,                 1.6386,                 1.1389,                 1.0702,                 0.7569,                0.68833,                0.76198,                 0.3493,                 1.7061,                 1.1965,                 1.0965,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.6138,                 1.0994,                 1.0583,                 0.7693,                0.73571,                0.80298,                0.38327,                 1.6633,                 1.1113,                 1.0845,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.5901,                 1.0752,                 1.0573,                0.78258,                0.72133,                0.79298,                0.38214,                 1.6304,                 1.1292,                 1.0838,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.5745,                 1.0504,                 1.0548,                 0.7907,                0.73793,                0.81938,                0.39538,                 1.6233,                 1.0832,                 1.0775,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.5684,                 1.0258,                 1.0461,                0.79924,                0.73866,                 0.8262,                0.40018,                 1.6244,                 1.0671,                 1.0772,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.5567,                 1.0173,                 1.0453,                0.81501,                0.74243,                0.83003,                0.40848,                 1.6358,                 1.0298,                 1.0759,             0.00023109,             0.00023109,             0.00023109
                     23,                 1.5385,                0.99443,                  1.039,                0.81866,                0.74647,                0.82499,                0.40819,                 1.6047,                 1.0263,                 1.0708,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.5249,                0.97162,                 1.0297,                0.82208,                0.75036,                0.83555,                0.41425,                 1.6124,                 1.0024,                 1.0722,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.5135,                 0.9619,                 1.0278,                0.82079,                 0.7659,                0.84314,                0.42131,                 1.5875,                0.99475,                 1.0673,             9.9101e-05,             9.9101e-05,             9.9101e-05
