                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75175,                 1.2836,                0.67387,                 1.0537,                0.71977,                0.57284,                0.60476,                0.44389,                0.71617,                 0.5697,                0.59906,                0.42033,                 1.0738,                 2.1531,                 1.3763,                 1.2707,             0.00030185,             0.00030185,             0.00030185
                      2,                0.77547,                 1.3441,                0.68589,                 1.0596,                0.75898,                0.54606,                0.60041,                0.43838,                0.72378,                0.54284,                0.58537,                0.41162,                 1.0625,                 2.2304,                 1.3873,                 1.2549,             0.00059288,             0.00059288,             0.00059288
                      3,                0.79955,                 1.3772,                0.72728,                 1.0708,                0.68533,                0.58455,                0.60248,                0.43043,                0.68639,                0.55681,                0.58023,                0.39579,                  1.093,                 2.3442,                 1.3665,                  1.274,              0.0008719,              0.0008719,              0.0008719
                      4,                0.81156,                 1.4114,                0.74787,                 1.0811,                0.76936,                0.51827,                0.57008,                0.40792,                0.76648,                  0.513,                0.56176,                0.38359,                 1.1854,                 2.3618,                 1.4888,                 1.3496,             0.00085501,             0.00085501,             0.00085501
                      5,                0.82554,                 1.4158,                0.75222,                 1.0865,                0.77863,                0.52599,                0.59348,                0.41897,                0.76505,                0.52316,                0.58254,                 0.4056,                 1.1693,                  2.328,                 1.4862,                 1.3309,             0.00085501,             0.00085501,             0.00085501
                      6,                0.82086,                 1.4274,                0.76362,                 1.0901,                0.71618,                0.56997,                0.59422,                 0.4278,                0.71458,                0.56506,                0.58237,                0.40024,                 1.0996,                 2.1993,                 1.3881,                 1.2611,             0.00083701,             0.00083701,             0.00083701
                      7,                0.81868,                  1.409,                0.74923,                 1.0815,                0.72313,                0.55104,                0.59407,                0.43448,                0.71594,                0.54349,                 0.5811,                0.41057,                 1.1143,                 2.4097,                 1.4695,                 1.2901,             0.00081901,             0.00081901,             0.00081901
                      8,                0.82195,                 1.4099,                 0.7528,                 1.0838,                0.73297,                0.56644,                0.60971,                0.43844,                0.72506,                0.55796,                0.59416,                0.41573,                  1.125,                 2.3964,                 1.3619,                 1.2951,             0.00080101,             0.00080101,             0.00080101
                      9,                0.80427,                 1.3962,                0.73479,                 1.0749,                0.72614,                0.58603,                0.61067,                0.43986,                0.71988,                 0.5765,                0.59543,                0.40934,                 1.1143,                 2.2697,                 1.3913,                 1.2683,             0.00078301,             0.00078301,             0.00078301
                     10,                0.81828,                 1.4223,                 0.7417,                 1.0817,                0.72891,                0.55486,                0.58385,                0.41625,                0.72636,                0.55043,                0.57308,                0.38863,                  1.117,                 2.3092,                 1.4064,                 1.2745,             0.00076501,             0.00076501,             0.00076501
                     11,                0.81045,                 1.4039,                 0.7335,                  1.081,                 0.7318,                0.56606,                0.60668,                0.44174,                0.72984,                0.56293,                0.59611,                0.41919,                 1.0761,                 2.2533,                 1.3592,                 1.2462,             0.00074702,             0.00074702,             0.00074702
